Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
BFC,4/1/2020,10.20,59250.00,0.0200,0.0031,-0.1673,-0.1673,-0.2911,-0.4736,-0.7000,0.00,0.00,0.00,0.0000,1.0000,-0.0760,-0.2609,3.0000,-0.1332,-0.1978,0,0,5.33,19.88,0,1,9.70,11.77,10.12,12.72,11.56,11.13,10.78,10.43,9.94,11.04,12.07,13.80,5,
BID,4/1/2020,32.10,1190960.00,0.0405,-0.1253,-0.3148,-0.4216,-0.4216,-0.4216,-0.4216,0.00,0.00,0.00,1.0000,0.0000,-0.1009,-0.1961,2.0000,-0.1127,-0.4740,0,0,6.09,0.00,0,1,29.84,36.18,29.84,61.02,43.06,40.47,38.38,36.28,33.30,35.70,43.92,39.93,0,
AAA,4/1/2020,9.99,923390.00,0.0639,-0.4726,-0.2103,-0.2489,-0.3717,-0.4657,-0.6050,0.00,0.00,0.00,0.0000,0.0000,-0.0621,-0.3185,2.0000,-0.1112,-0.2846,0,0,4.63,3.32,0,1,9.35,11.24,9.73,13.96,12.03,11.49,11.05,10.61,9.99,10.65,12.70,14.66,0,
ANV,4/1/2020,13.00,167770.00,0.0359,0.0720,-0.2758,-0.4170,-0.4961,-0.5365,-0.6003,0.00,0.00,0.00,0.0000,0.0000,-0.1598,-0.4394,0.0000,-0.2456,-0.4760,0,0,0.00,0.00,0,1,12.63,17.23,12.83,24.81,16.69,15.76,15.00,14.24,13.17,15.47,20.48,23.19,0,Piercing_pattern
BCC,4/1/2020,5.20,161200.00,0.0196,-0.1036,-0.2121,-0.2676,-0.2973,-0.4222,-0.8609,0.00,0.00,0.00,0.0000,0.0000,-0.0893,-0.2827,2.0000,-0.1537,-0.3193,0,0,4.96,0.00,0,1,4.91,6.14,5.21,7.64,6.30,6.05,5.85,5.65,5.36,5.71,6.67,7.25,0,
APC,4/1/2020,13.60,6210.00,0.0462,-0.3869,-0.2609,-0.3234,-0.3996,-0.5245,-0.8502,0.00,0.00,0.00,0.0000,0.0000,-0.0900,-0.3685,0.0000,-0.1240,-0.4021,0,0,3.52,0.00,0,1,12.85,15.52,13.19,22.75,17.43,16.56,15.85,15.14,14.13,14.94,18.91,21.54,0,
BSR,4/1/2020,5.00,2092997.00,0.0417,-0.3299,-0.3976,-0.4048,-0.5098,-0.6154,-0.8403,0.00,0.00,0.00,0.0000,0.0000,-0.2114,-0.4565,1.0000,-0.3258,-0.4582,0,0,0.55,0.00,0,1,4.46,7.42,5.36,9.23,7.50,6.95,6.50,6.05,5.41,6.34,8.04,9.20,0,
BSQ,4/1/2020,22.00,0.00,0.0000,-1.0000,-0.1473,-0.1473,-0.2281,-0.2281,-0.2667,0.00,0.00,0.00,1.0000,1.0000,-0.0439,-0.1235,4.0000,-0.0984,-0.2112,0,0,23.00,16.17,0,1,21.21,24.40,19.87,27.89,26.64,25.18,24.00,22.82,21.14,23.01,24.98,25.10,0,/ndoji_standard
BSI,4/1/2020,8.37,2120.00,0.0462,-0.7859,-0.0802,-0.1281,-0.1281,-0.1281,-0.3690,3.00,0.00,0.00,1.0000,1.0000,-0.0030,0.1282,1.0000,-0.0459,-0.1564,1,5,35.42,48.61,0,1,7.89,8.77,7.16,9.92,8.69,8.43,8.23,8.02,7.72,8.40,7.92,7.42,3,Piercing_pattern
BBC,4/1/2020,45.05,350.00,0.0239,-0.5409,-0.1167,-0.2479,-0.2883,-0.3423,-0.6449,0.00,0.00,0.00,0.0000,0.0000,-0.0277,-0.2555,5.0000,-0.0896,-0.2992,1,0,7.09,0.97,0,1,41.47,49.49,42.77,64.28,48.52,46.99,45.75,44.51,42.75,46.33,56.31,60.51,4,Piercing_pattern
