Ticker,Date/Time,Close P,Ty le tang trong ngay,Do bien KL,MA_status,Price/BBandTop,Gia mua,Gia_co_ban,profit_loss,Price/BBandTopWkl,Pricevsbbband,PricevsMA,pricevsFib,Mo_hinh_nen
BFC,4/1/2020,10.20,0.0200,0.0031,0.00,-0.1332,11.55,0.00,-1.0000,-0.1978,0,0,5,
AAA,4/1/2020,9.99,0.0639,-0.4726,0.00,-0.1112,9.99,9.99,0.0000,-0.2846,0,0,0,
APC,4/1/2020,13.60,0.0462,-0.3869,0.00,-0.1240,13.60,13.60,0.0000,-0.4021,0,0,0,
ACB,4/1/2020,18.60,0.0449,-0.5544,0.00,-0.1849,18.60,18.60,0.0000,-0.3207,1,0,5,Piercing_pattern
ANV,4/1/2020,13.00,0.0359,0.0720,0.00,-0.2456,13.00,13.00,0.0000,-0.4760,0,0,0,Piercing_pattern
BID,4/1/2020,32.10,0.0405,-0.1253,0.00,-0.1127,32.10,32.10,0.0000,-0.4740,0,0,0,
BCC,4/1/2020,5.20,0.0196,-0.1036,0.00,-0.1537,5.20,5.20,0.0000,-0.3193,0,0,0,
BBC,4/1/2020,45.05,0.0239,-0.5409,0.00,-0.0896,44.00,0.00,-1.0000,-0.2992,1,0,4,Piercing_pattern
BSR,4/1/2020,5.00,0.0417,-0.3299,0.00,-0.3258,5.00,5.00,0.0000,-0.4582,0,0,0,
BSQ,4/1/2020,22.00,0.0000,-1.0000,0.00,-0.0984,21.80,0.00,-1.0000,-0.2112,0,0,0,/ndoji_standard
BSI,4/1/2020,8.37,0.0462,-0.7859,3.00,-0.0459,6.37,0.00,-1.0000,-0.1564,1,5,3,Piercing_pattern
CEO,4/1/2020,6.10,0.0339,-0.3016,0.00,-0.1716,6.00,0.00,-1.0000,-0.4025,0,0,0,/ndoji_standard
BMP,4/1/2020,35.00,0.0309,-0.6208,0.00,-0.0719,35.15,0.00,-1.0000,-0.2921,0,0,0,
BVH,4/1/2020,39.55,0.0689,0.1524,0.00,-0.0728,34.55,0.00,-1.0000,-0.4968,0,0,5,
BVS,4/1/2020,8.10,0.0253,0.1434,0.00,-0.1065,8.10,8.10,0.0000,-0.2757,0,0,0,
CII,4/1/2020,18.70,0.0331,-0.3797,0.00,-0.1230,18.75,0.00,-1.0000,-0.3041,0,0,5,
CSV,4/1/2020,18.20,0.0282,-0.4313,0.00,-0.0736,18.20,18.20,0.0000,-0.2112,0,0,0,
CTD,4/1/2020,45.10,0.0033,0.0401,0.00,-0.2255,49.55,0.00,-1.0000,-0.3493,0,0,0,/ndoji_standard
CTG,4/1/2020,18.30,0.0640,-0.2350,0.00,-0.1831,18.35,0.00,-1.0000,-0.3705,0,0,0,
CTI,4/1/2020,21.45,0.0118,-0.5249,0.00,-0.0257,21.05,0.00,-1.0000,-0.0661,1,0,1,
CTS,4/1/2020,5.66,0.0679,-0.7870,0.00,-0.1896,5.30,0.00,-1.0000,-0.2899,0,0,5,
CVT,4/1/2020,15.30,0.0200,-0.7661,0.00,-0.0508,15.60,0.00,-1.0000,-0.3394,0,0,0,
DBC,4/1/2020,19.30,0.0266,-0.3070,1.00,-0.0065,17.25,0.00,-1.0000,-0.2375,0,0,1,
DCM,4/1/2020,5.55,0.0452,-0.5538,0.00,-0.0734,6.74,0.00,-1.0000,-0.1635,0,0,5,
DGC,4/1/2020,19.90,0.0258,-0.7432,0.00,-0.1611,19.40,0.00,-1.0000,-0.2549,0,0,5,
DCL,4/1/2020,18.20,0.0111,-0.2703,0.00,-0.1778,3.45,0.00,-1.0000,-0.3737,1,0,5,
DIG,4/1/2020,10.70,0.0338,0.2370,0.00,-0.1129,11.50,0.00,-1.0000,-0.2580,1,0,5,
DHA,4/1/2020,27.30,-0.0667,8.2469,0.00,-0.1078,29.29,0.00,-1.0000,-0.2029,0,0,0,
DHG,4/1/2020,79.00,0.0000,-0.4750,0.00,-0.0788,91.70,0.00,-1.0000,-0.2362,0,0,0,
DXG,4/1/2020,7.77,0.0026,-0.0199,0.00,-0.3554,7.77,7.77,0.0000,-0.5063,1,0,0,
DPM,4/1/2020,12.25,0.0699,0.4259,2.00,0.0043,11.55,0.00,-1.0000,-0.0737,4,0,2,
EIB,4/1/2020,15.20,0.0375,0.5271,0.00,-0.0969,15.20,15.20,0.0000,-0.1826,0,0,5,Piercing_pattern
FCN,4/1/2020,7.26,0.0692,-0.0066,0.00,-0.0534,7.26,7.26,0.0000,-0.3688,0,0,5,
FTS,4/1/2020,10.20,0.0099,-0.7868,0.00,-0.2339,11.25,0.00,-1.0000,-0.2597,0,0,0,
FMC,4/1/2020,16.40,0.0282,-0.5749,0.00,-0.2254,16.40,16.40,0.0000,-0.4520,1,0,0,
FPT,4/1/2020,42.30,0.0292,-0.3466,0.00,-0.1692,42.30,42.30,0.0000,-0.3256,0,0,0,
GAS,4/1/2020,56.10,0.0237,-0.1454,0.00,-0.0836,60.10,0.00,-1.0000,-0.4924,0,0,0,
HBC,4/1/2020,6.40,0.0631,0.2580,0.00,-0.2748,6.40,6.40,0.0000,-0.5262,0,0,0,
