Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
BID,4/6/2020,36.20,460890.00,0.0554,-0.6670,-0.2273,-0.3346,-0.3477,-0.3477,-0.3477,1.00,1.00,0.00,1.0000,0.0000,0.0477,-0.0944,0.0000,0.0100,-0.4039,4,0,61.15,0.10,1,1,30.01,35.84,29.09,60.73,41.11,38.89,37.10,35.31,32.75,34.55,43.80,39.97,4,
BFC,4/6/2020,10.30,5200.00,0.0000,-0.9093,-0.1592,-0.1592,-0.2841,-0.4631,-0.6971,0.00,0.00,0.00,1.0000,1.0000,-0.0511,-0.2488,8.0000,-0.1048,-0.1882,0,0,24.92,11.43,1,1,9.67,11.51,9.95,12.69,11.48,11.07,10.73,10.39,9.92,10.85,11.99,13.71,0,/ndoji_standard
ANV,4/6/2020,14.80,51740.00,0.0647,-0.6759,-0.1755,-0.2487,-0.4264,-0.4724,-0.5450,0.00,0.00,0.00,1.0000,0.0000,-0.0213,-0.3585,0.0000,-0.1211,-0.3885,0,0,29.37,0.00,1,1,12.55,16.84,12.57,24.20,16.04,15.23,14.58,13.92,12.99,15.12,20.26,23.07,3,
AAA,4/6/2020,10.80,429900.00,0.0485,-0.7546,-0.1255,-0.1880,-0.3186,-0.4224,-0.5730,1.00,1.00,0.00,1.0000,0.0000,0.0326,-0.2595,0.0000,-0.0456,-0.2153,0,0,41.36,3.32,1,1,9.40,11.32,9.70,13.76,11.15,10.78,10.48,10.17,9.75,10.46,12.60,14.59,2,
APC,4/6/2020,14.40,1050.00,0.0588,-0.9007,-0.2044,-0.2800,-0.3600,-0.4965,-0.8414,0.00,0.00,0.00,1.0000,0.0000,-0.0083,-0.3274,0.0000,-0.0583,-0.3597,0,0,31.44,0.00,1,1,12.83,15.29,12.66,22.49,16.71,15.97,15.38,14.78,13.93,14.52,18.74,21.41,0,/ndoji_standard
BCC,4/6/2020,5.50,13600.00,0.0185,-0.9197,-0.1406,-0.2029,-0.2466,-0.3889,-0.8528,0.00,0.00,0.00,1.0000,0.0000,-0.0187,-0.2386,1.0000,-0.0918,-0.2714,0,0,23.61,0.00,1,1,4.90,6.06,5.13,7.55,6.07,5.87,5.70,5.53,5.30,5.61,6.63,7.22,0,
BSR,4/6/2020,5.80,936200.00,0.0357,-0.7019,-0.2840,-0.3012,-0.4314,-0.5538,-0.8147,0.00,0.00,0.00,1.0000,0.0000,-0.0476,-0.3646,0.0000,-0.1843,-0.3573,0,0,22.95,0.00,1,1,4.48,7.11,5.32,9.02,7.04,6.58,6.20,5.82,5.28,6.09,7.95,9.13,0,
VN30,4/6/2020,672.72,32920740.00,0.0363,-0.6032,-0.1953,-0.2280,-0.2879,-0.2879,-0.4288,0.00,0.00,0.00,1.0000,0.0000,-0.0101,-0.2244,1.0000,-0.0585,-0.3244,0,0,33.33,0.00,1,1,595.59,714.52,609.88,995.72,779.71,745.10,717.13,689.15,649.33,679.61,837.74,867.37,0,
BBC,4/6/2020,47.00,430.00,0.0108,-0.2424,-0.0369,-0.1938,-0.2575,-0.3139,-0.6295,1.00,0.00,0.00,2.0000,0.0000,0.0212,-0.2210,1.0000,-0.0446,-0.2505,0,0,62.17,2.33,1,1,41.54,49.20,42.60,62.71,48.52,46.99,45.75,44.51,42.75,46.02,56.01,60.33,0,/ndoji_standard
BSI,4/6/2020,9.00,840.00,0.0601,-0.9013,0.0000,-0.0625,-0.0625,-0.0625,-0.3215,5.00,1.00,0.00,1.0000,1.0000,0.0753,0.2115,0.0000,0.0098,-0.0972,4,0,60.42,37.63,0,1,7.81,8.91,7.28,9.97,8.61,8.37,8.18,7.98,7.70,8.37,7.97,7.43,1,
BVH,4/6/2020,43.70,310090.00,0.0331,-0.4921,-0.2069,-0.2692,-0.4030,-0.4966,-0.5841,1.00,0.00,0.00,2.0000,0.0000,0.0971,-0.3583,1.0000,0.0039,-0.4268,4,0,84.71,3.43,1,1,32.22,43.53,31.99,76.24,47.35,44.47,42.15,39.83,36.52,39.83,60.01,68.10,0,
